#L  beta  g_im            err_g_im       density    err_density   Z
6   3.5   0.718E-01       0.4E-03        0.17092    0.254E-03     275
6   4.0   0.11677         0.8E-03        0.16756    0.5E-03     129
6   4.5   0.1663         0.2E-02         0.17051    0.2E-03     64
6   5.0   0.1943         0.19E-02        0.17178    0.4E-03     40
8   3.5   0.4631E-01      0.16E-02       0.16549    0.2E-02       24.5
8   4.0   0.1063          0.12E-02        0.163    0.5E-03       121
8   4.25  0.1375          0.2e-2         0.160    0.3e-3       128.2
8   4.5   0.172           0.15E-02      0.1619     0.4E-03     88
8   5.0   0.2246         0.12E-01    0.16665    0.2E-02     2
12  4.2   0.121         0.35E-02    0.1577     0.8E-03     58
12  4.55  0.227          0.5E-02    0.160    0.9E-03     26.3

